entry_time,exit_time,ride_preference_1,ride_preference_2,ride_preference_3
13,17,Merry Go Round,Zipline,Flying Coaster
12,18,Go-Karts,Go-Karts,Spinning Coaster
12,17,Giant Wheel,Haunted House,Merry Go Round
11,15,Merry Go Round,Merry Go Round,Bungee Jump
10,14,Flying Coaster,Spinning Coaster,Flying Coaster
14,18,Inverted Coaster,Oz Theatre,Spinning Coaster
11,16,Circus Train,Circus Train,Flying Coaster
10,15,Kiddie Coaster,Inverted Coaster,Swing Ride
10,17,Bungee Jump,Crazy Dance,Flying Coaster
14,18,Flying Coaster,Spinning Coaster,Giant Wheel
14,18,Bungee Jump,Merry Go Round,Go-Karts
12,17,Swing Ride,Giga Coaster,Water Ride
12,16,Merry Go Round,Flying Coaster,Water Ride
12,16,Bungee Jump,Merry Go Round,Flying Coaster
11,18,Flying Coaster,Kiddie Coaster,Superman Ride
13,18,Giant Wheel,Flying Coaster,Flying Coaster
13,18,Spinning Coaster,Merry Go Round,Haunted House
12,18,Haunted House,Free Fall,Go-Karts
11,17,Kiddie Coaster,Bungee Jump,Flying Coaster
12,18,Flying Coaster,Merry Go Round,Kiddie Coaster
14,18,Spinning Coaster,Circus Train,Water Ride
14,18,Giant Wheel,Rapids Ride,Dizzy Dropper
12,17,Kiddie Coaster,Free Fall,Water Ride
13,17,Inverted Coaster,Free Fall,Roller Coaster
14,18,Flying Coaster,Swing Ride,Bungee Jump
11,18,Inverted Coaster,Flying Coaster,Merry Go Round
12,18,Spinning Coaster,Flying Coaster,Spinning Coaster
12,16,Flying Coaster,Oz Theatre,Flying Coaster
11,17,Bungee Jump,Crazy Dance,Rapids Ride
10,16,Flying Coaster,Flying Coaster,Merry Go Round
11,18,Go-Karts,Go-Karts,Flying Coaster
13,18,Water Ride,Superman Ride,Go-Karts
12,16,Flying Coaster,Go-Karts,Giant Wheel
14,18,Flying Coaster,Flying Coaster,Merry Go Round
10,18,Go-Karts,Bungee Jump,Merry Go Round
14,18,Flying Coaster,Flying Coaster,Spinning Coaster
12,18,Dizzy Dropper,Swing Ride,Giga Coaster
11,18,Bungee Jump,Circus Train,Merry Go Round
14,18,Go-Karts,Flying Coaster,Merry Go Round
12,17,Himalaya Ride,Giant Wheel,Giant Wheel
10,18,Flying Coaster,Bumper Cars,Spinning Coaster
12,18,Bumper Cars,Flying Coaster,Circus Train
10,15,Zipline,Free Fall,Flying Coaster
11,16,Spinning Coaster,Flying Coaster,Zipline
13,18,Flying Coaster,Go-Karts,Rapids Ride
12,16,Superman Ride,Flying Coaster,Giant Wheel
13,17,Giant Wheel,Merry Go Round,Flying Coaster
11,16,Zipline,Flying Coaster,Merry Go Round
11,17,Bungee Jump,Dizzy Dropper,Spinning Coaster
14,18,Bungee Jump,Flying Coaster,Merry Go Round
13,18,Merry Go Round,Drop Tower,Haunted House
10,15,Inverted Coaster,Swing Ride,Flying Coaster
10,17,Circus Train,Flying Coaster,Go-Karts
13,18,Spinning Coaster,Go-Karts,Circus Train
12,18,Merry Go Round,Bungee Jump,Circus Train
12,17,Flying Coaster,Haunted House,Spinning Coaster
12,18,Bungee Jump,Giga Coaster,Swing Ride
11,18,Merry Go Round,Flying Coaster,Haunted House
13,18,Spinning Coaster,Flying Coaster,Crazy Dance
11,17,Roller Coaster,Go-Karts,Spinning Coaster
11,15,Flying Coaster,Flying Coaster,Swing Ride
12,16,Merry Go Round,Bumper Cars,Spinning Coaster
11,18,Merry Go Round,Flying Coaster,Flying Coaster
13,17,Superman Ride,Flying Coaster,Go-Karts
11,17,Circus Train,Merry Go Round,Circus Train
14,18,Bungee Jump,Merry Go Round,Flying Coaster
12,17,Crazy Dance,Spinning Coaster,Merry Go Round
13,17,Go-Karts,Giant Wheel,Roller Coaster
14,18,Bungee Jump,Flying Coaster,Giga Coaster
14,18,Flying Coaster,Kiddie Coaster,Spinning Coaster
10,14,Spinning Coaster,Flying Coaster,Circus Train
14,18,Giant Wheel,Kiddie Coaster,Flying Coaster
11,15,Kiddie Coaster,Giant Wheel,Circus Train
12,17,Flying Coaster,Flying Coaster,Haunted House
11,18,Giant Wheel,Flying Coaster,Giga Coaster
10,17,Go-Karts,Bungee Jump,Flying Coaster
14,18,Flying Coaster,Flying Coaster,Drop Tower
13,17,Flying Coaster,Merry Go Round,Bungee Jump
11,15,Flying Coaster,Flying Coaster,Flying Coaster
11,15,Merry Go Round,Circus Train,Merry Go Round
12,18,Zipline,Merry Go Round,Flying Coaster
13,18,Bungee Jump,Zipline,Crazy Dance
10,18,Merry Go Round,Giant Wheel,Flying Coaster
10,18,Giant Wheel,Flying Coaster,Merry Go Round
11,18,Flying Coaster,Flying Coaster,Spinning Coaster
13,18,Go-Karts,Go-Karts,Merry Go Round
11,18,Spinning Coaster,Flying Coaster,Spinning Coaster
13,17,Merry Go Round,Giant Wheel,Haunted House
12,16,Dizzy Dropper,Bungee Jump,Circus Train
13,17,Kiddie Coaster,Circus Train,Circus Train
11,15,Bungee Jump,Inverted Coaster,Free Fall
13,18,Flying Coaster,Water Ride,Merry Go Round
12,16,Spinning Coaster,Spinning Coaster,Spinning Coaster
10,14,Merry Go Round,Go-Karts,Flying Coaster
14,18,Go-Karts,Giant Wheel,Giant Wheel
11,16,Flying Coaster,Flying Coaster,Go-Karts
10,18,Bungee Jump,Flying Coaster,Drop Tower
11,15,Bumper Cars,Merry Go Round,Bungee Jump
11,18,Inverted Coaster,Water Ride,Free Fall
11,17,Flying Coaster,Spinning Coaster,Giant Wheel
13,17,Flying Coaster,Spinning Coaster,Kiddie Coaster
10,17,Swing Ride,Merry Go Round,Go-Karts
14,18,Go-Karts,Merry Go Round,Giant Wheel
13,18,Rapids Ride,Oz Theatre,Merry Go Round
14,18,Spinning Coaster,Flying Coaster,Merry Go Round
14,18,Merry Go Round,Flying Coaster,Spinning Coaster
13,17,Merry Go Round,Flying Coaster,Flying Coaster
12,18,Water Ride,Spinning Coaster,Circus Train
11,17,Merry Go Round,Go-Karts,Flying Coaster
13,18,Flying Coaster,Spinning Coaster,Inverted Coaster
12,17,Drop Tower,Flying Coaster,Circus Train
10,16,Inverted Coaster,Roller Coaster,Go-Karts
14,18,Flying Coaster,Giga Coaster,Free Fall
12,18,Flying Coaster,Bungee Jump,Flying Coaster
10,14,Dizzy Dropper,Zipline,Flying Coaster
11,16,Flying Coaster,Himalaya Ride,Superman Ride
10,17,Go-Karts,Flying Coaster,Flying Coaster
11,16,Giant Wheel,Spinning Coaster,Merry Go Round
12,18,Superman Ride,Flying Coaster,Spinning Coaster
12,16,Bungee Jump,Rapids Ride,Haunted House
11,16,Flying Coaster,Go-Karts,Flying Coaster
14,18,Spinning Coaster,Swing Ride,Merry Go Round
10,18,Swing Ride,Flying Coaster,Flying Coaster
10,16,Swing Ride,Water Ride,Merry Go Round
13,18,Spinning Coaster,Go-Karts,Water Ride
12,17,Flying Coaster,Spinning Coaster,Go-Karts
14,18,Spiral Slide,Spinning Coaster,Haunted House
13,18,Flying Coaster,Roller Coaster,Merry Go Round
14,18,Water Ride,Merry Go Round,Giant Wheel
10,18,Circus Train,Merry Go Round,Merry Go Round
13,18,Spinning Coaster,Flying Coaster,Flying Coaster
12,17,Merry Go Round,Flying Coaster,Haunted House
13,18,Flying Coaster,Kiddie Coaster,Flying Coaster
10,16,Spiral Slide,Roller Coaster,Spinning Coaster
12,17,Merry Go Round,Go-Karts,Merry Go Round
13,17,Crazy Dance,Flying Coaster,Inverted Coaster
13,17,Kiddie Coaster,Flying Coaster,Water Ride
11,17,Go-Karts,Merry Go Round,Flying Coaster
10,17,Rapids Ride,Giant Wheel,Free Fall
13,18,Go-Karts,Zipline,Inverted Coaster
13,18,Flying Coaster,Swing Ride,Superman Ride
10,14,Water Ride,Merry Go Round,Water Ride
12,17,Flying Coaster,Spiral Slide,Bumper Cars
14,18,Go-Karts,Kiddie Coaster,Rapids Ride
14,18,Crazy Dance,Flying Coaster,Merry Go Round
13,18,Spinning Coaster,Flying Coaster,Spiral Slide
14,18,Merry Go Round,Oz Theatre,Zipline
11,17,Flying Coaster,Merry Go Round,Bungee Jump
14,18,Spinning Coaster,Giant Wheel,Roller Coaster
11,15,Circus Train,Kiddie Coaster,Merry Go Round
11,15,Flying Coaster,Merry Go Round,Inverted Coaster
10,14,Flying Coaster,Merry Go Round,Spinning Coaster
14,18,Circus Train,Go-Karts,Himalaya Ride
11,15,Merry Go Round,Bumper Cars,Spinning Coaster
11,17,Flying Coaster,Go-Karts,Spinning Coaster
13,17,Flying Coaster,Oz Theatre,Dizzy Dropper
11,17,Drop Tower,Zipline,Merry Go Round
14,18,Circus Train,Swing Ride,Spinning Coaster
12,17,Inverted Coaster,Himalaya Ride,Flying Coaster
12,18,Flying Coaster,Flying Coaster,Go-Karts
10,14,Flying Coaster,Flying Coaster,Giga Coaster
13,18,Swing Ride,Flying Coaster,Giant Wheel
10,16,Flying Coaster,Flying Coaster,Flying Coaster
11,17,Spinning Coaster,Flying Coaster,Bumper Cars
14,18,Flying Coaster,Flying Coaster,Free Fall
10,15,Go-Karts,Go-Karts,Merry Go Round
12,18,Bungee Jump,Inverted Coaster,Flying Coaster
11,16,Superman Ride,Rapids Ride,Giant Wheel
12,18,Giant Wheel,Go-Karts,Go-Karts
13,17,Circus Train,Spiral Slide,Drop Tower
10,17,Flying Coaster,Merry Go Round,Go-Karts
14,18,Flying Coaster,Go-Karts,Flying Coaster
10,14,Flying Coaster,Roller Coaster,Spinning Coaster
10,18,Dizzy Dropper,Go-Karts,Go-Karts
11,16,Bumper Cars,Flying Coaster,Flying Coaster
13,18,Flying Coaster,Giant Wheel,Go-Karts
14,18,Haunted House,Merry Go Round,Haunted House
11,16,Rapids Ride,Giant Wheel,Flying Coaster
10,16,Spinning Coaster,Flying Coaster,Go-Karts
12,17,Roller Coaster,Giant Wheel,Flying Coaster
12,16,Giant Wheel,Flying Coaster,Merry Go Round
10,17,Flying Coaster,Giga Coaster,Inverted Coaster
13,17,Merry Go Round,Crazy Dance,Kiddie Coaster
14,18,Flying Coaster,Spinning Coaster,Circus Train
12,16,Flying Coaster,Rapids Ride,Flying Coaster
10,15,Inverted Coaster,Go-Karts,Giant Wheel
12,16,Flying Coaster,Flying Coaster,Merry Go Round
11,18,Go-Karts,Bumper Cars,Flying Coaster
14,18,Flying Coaster,Flying Coaster,Go-Karts
13,17,Go-Karts,Flying Coaster,Oz Theatre
13,17,Flying Coaster,Haunted House,Himalaya Ride
12,18,Flying Coaster,Merry Go Round,Circus Train
14,18,Merry Go Round,Drop Tower,Superman Ride
12,18,Water Ride,Flying Coaster,Himalaya Ride
14,18,Flying Coaster,Bumper Cars,Inverted Coaster
13,18,Go-Karts,Merry Go Round,Flying Coaster
14,18,Go-Karts,Flying Coaster,Flying Coaster
11,18,Circus Train,Flying Coaster,Flying Coaster
14,18,Flying Coaster,Circus Train,Drop Tower
13,18,Flying Coaster,Kiddie Coaster,Flying Coaster
13,18,Superman Ride,Spinning Coaster,Merry Go Round
10,18,Flying Coaster,Bungee Jump,Flying Coaster
13,18,Go-Karts,Flying Coaster,Haunted House
12,17,Flying Coaster,Free Fall,Giant Wheel
14,18,Giant Wheel,Haunted House,Superman Ride
12,17,Go-Karts,Inverted Coaster,Giant Wheel
13,18,Spinning Coaster,Spinning Coaster,Spinning Coaster
12,16,Merry Go Round,Bungee Jump,Oz Theatre
13,18,Merry Go Round,Dizzy Dropper,Merry Go Round
11,16,Flying Coaster,Water Ride,Circus Train
13,17,Flying Coaster,Crazy Dance,Swing Ride
12,18,Spinning Coaster,Flying Coaster,Go-Karts
12,17,Flying Coaster,Flying Coaster,Inverted Coaster
11,17,Flying Coaster,Haunted House,Drop Tower
11,18,Merry Go Round,Flying Coaster,Spinning Coaster
10,16,Circus Train,Flying Coaster,Flying Coaster
12,18,Go-Karts,Bumper Cars,Dizzy Dropper
10,18,Flying Coaster,Kiddie Coaster,Bumper Cars
13,17,Merry Go Round,Flying Coaster,Merry Go Round
10,18,Merry Go Round,Merry Go Round,Drop Tower
14,18,Flying Coaster,Flying Coaster,Flying Coaster
13,18,Giant Wheel,Bumper Cars,Free Fall
12,18,Flying Coaster,Flying Coaster,Flying Coaster
11,17,Flying Coaster,Merry Go Round,Superman Ride
14,18,Flying Coaster,Flying Coaster,Flying Coaster
10,14,Merry Go Round,Inverted Coaster,Giant Wheel
11,17,Flying Coaster,Go-Karts,Bumper Cars
10,17,Bungee Jump,Bungee Jump,Merry Go Round
14,18,Inverted Coaster,Flying Coaster,Water Ride
13,17,Free Fall,Flying Coaster,Flying Coaster
10,16,Swing Ride,Circus Train,Flying Coaster
12,17,Bungee Jump,Flying Coaster,Bumper Cars
12,17,Spiral Slide,Flying Coaster,Flying Coaster
12,17,Bumper Cars,Haunted House,Bumper Cars
12,17,Flying Coaster,Flying Coaster,Zipline
11,15,Flying Coaster,Bumper Cars,Giant Wheel
10,14,Circus Train,Kiddie Coaster,Merry Go Round
10,16,Swing Ride,Rapids Ride,Inverted Coaster
10,14,Flying Coaster,Haunted House,Kiddie Coaster
13,18,Superman Ride,Merry Go Round,Merry Go Round
10,14,Merry Go Round,Merry Go Round,Flying Coaster
11,16,Swing Ride,Go-Karts,Flying Coaster
13,18,Flying Coaster,Zipline,Water Ride
11,18,Giant Wheel,Flying Coaster,Flying Coaster
13,18,Merry Go Round,Merry Go Round,Flying Coaster
11,17,Crazy Dance,Inverted Coaster,Kiddie Coaster
12,17,Merry Go Round,Merry Go Round,Flying Coaster
10,15,Go-Karts,Merry Go Round,Haunted House
13,17,Giga Coaster,Merry Go Round,Giant Wheel
14,18,Giant Wheel,Drop Tower,Kiddie Coaster
14,18,Circus Train,Giga Coaster,Flying Coaster
11,16,Flying Coaster,Flying Coaster,Go-Karts
11,15,Kiddie Coaster,Flying Coaster,Dizzy Dropper
13,17,Flying Coaster,Go-Karts,Spinning Coaster
14,18,Flying Coaster,Kiddie Coaster,Haunted House
11,18,Spinning Coaster,Spinning Coaster,Flying Coaster
10,17,Go-Karts,Flying Coaster,Flying Coaster
10,17,Spinning Coaster,Merry Go Round,Superman Ride
10,16,Spiral Slide,Circus Train,Go-Karts
14,18,Himalaya Ride,Oz Theatre,Dizzy Dropper
10,16,Go-Karts,Flying Coaster,Kiddie Coaster
12,17,Flying Coaster,Bungee Jump,Bumper Cars
11,15,Go-Karts,Flying Coaster,Merry Go Round
13,18,Spinning Coaster,Giant Wheel,Flying Coaster
11,18,Kiddie Coaster,Kiddie Coaster,Giga Coaster
14,18,Crazy Dance,Bumper Cars,Flying Coaster
13,18,Himalaya Ride,Zipline,Flying Coaster
14,18,Circus Train,Merry Go Round,Himalaya Ride
11,17,Flying Coaster,Flying Coaster,Flying Coaster
13,18,Merry Go Round,Flying Coaster,Haunted House
11,15,Spinning Coaster,Spinning Coaster,Bumper Cars
12,18,Merry Go Round,Haunted House,Flying Coaster
10,16,Roller Coaster,Bumper Cars,Free Fall
10,18,Water Ride,Bungee Jump,Merry Go Round
12,16,Flying Coaster,Merry Go Round,Merry Go Round
14,18,Haunted House,Bumper Cars,Drop Tower
11,18,Giant Wheel,Merry Go Round,Kiddie Coaster
12,17,Himalaya Ride,Merry Go Round,Flying Coaster
10,17,Flying Coaster,Flying Coaster,Go-Karts
14,18,Circus Train,Flying Coaster,Flying Coaster
13,17,Flying Coaster,Merry Go Round,Flying Coaster
14,18,Flying Coaster,Merry Go Round,Merry Go Round
10,16,Flying Coaster,Inverted Coaster,Go-Karts
13,17,Kiddie Coaster,Giant Wheel,Flying Coaster
13,17,Flying Coaster,Flying Coaster,Flying Coaster
10,16,Giant Wheel,Flying Coaster,Crazy Dance
14,18,Inverted Coaster,Flying Coaster,Giant Wheel
13,18,Merry Go Round,Kiddie Coaster,Flying Coaster
12,17,Merry Go Round,Kiddie Coaster,Merry Go Round
12,16,Spinning Coaster,Circus Train,Merry Go Round
13,18,Giant Wheel,Go-Karts,Merry Go Round
12,18,Flying Coaster,Kiddie Coaster,Circus Train
11,18,Roller Coaster,Bumper Cars,Flying Coaster
13,17,Merry Go Round,Giant Wheel,Spiral Slide
12,16,Inverted Coaster,Flying Coaster,Kiddie Coaster
14,18,Himalaya Ride,Merry Go Round,Flying Coaster
11,15,Flying Coaster,Flying Coaster,Go-Karts
10,17,Inverted Coaster,Flying Coaster,Flying Coaster
11,18,Bungee Jump,Flying Coaster,Bungee Jump
10,15,Flying Coaster,Haunted House,Flying Coaster
12,17,Kiddie Coaster,Flying Coaster,Roller Coaster
13,18,Giant Wheel,Bungee Jump,Crazy Dance
12,16,Flying Coaster,Haunted House,Kiddie Coaster
10,16,Go-Karts,Bumper Cars,Spinning Coaster
13,18,Bumper Cars,Spinning Coaster,Spinning Coaster
14,18,Superman Ride,Zipline,Spinning Coaster
14,18,Giga Coaster,Water Ride,Circus Train
13,17,Zipline,Crazy Dance,Flying Coaster
10,17,Bungee Jump,Flying Coaster,Dizzy Dropper
10,16,Rapids Ride,Go-Karts,Giant Wheel
10,16,Spinning Coaster,Spiral Slide,Bumper Cars
12,16,Oz Theatre,Go-Karts,Dizzy Dropper
14,18,Flying Coaster,Oz Theatre,Flying Coaster
14,18,Flying Coaster,Flying Coaster,Bumper Cars
11,15,Merry Go Round,Flying Coaster,Flying Coaster
10,14,Go-Karts,Bungee Jump,Flying Coaster
13,18,Flying Coaster,Circus Train,Bungee Jump
10,17,Go-Karts,Dizzy Dropper,Haunted House
13,18,Giga Coaster,Merry Go Round,Bungee Jump
11,17,Himalaya Ride,Rapids Ride,Go-Karts
10,14,Bumper Cars,Flying Coaster,Swing Ride
10,14,Flying Coaster,Flying Coaster,Bungee Jump
13,18,Flying Coaster,Bungee Jump,Circus Train
13,17,Dizzy Dropper,Oz Theatre,Flying Coaster
12,16,Spiral Slide,Giant Wheel,Flying Coaster
13,17,Haunted House,Free Fall,Go-Karts
14,18,Dizzy Dropper,Go-Karts,Circus Train
13,17,Superman Ride,Bumper Cars,Spinning Coaster
14,18,Flying Coaster,Dizzy Dropper,Kiddie Coaster
11,15,Flying Coaster,Giant Wheel,Spiral Slide
14,18,Go-Karts,Zipline,Flying Coaster
13,18,Flying Coaster,Free Fall,Bumper Cars
12,18,Go-Karts,Spinning Coaster,Giant Wheel
12,17,Flying Coaster,Go-Karts,Haunted House
14,18,Circus Train,Spinning Coaster,Flying Coaster
10,17,Merry Go Round,Spinning Coaster,Merry Go Round
14,18,Circus Train,Flying Coaster,Go-Karts
14,18,Bungee Jump,Oz Theatre,Go-Karts
10,14,Zipline,Kiddie Coaster,Flying Coaster
12,18,Superman Ride,Go-Karts,Spiral Slide
14,18,Inverted Coaster,Merry Go Round,Flying Coaster
12,18,Bungee Jump,Go-Karts,Go-Karts
13,17,Go-Karts,Flying Coaster,Merry Go Round
13,17,Flying Coaster,Merry Go Round,Rapids Ride
11,16,Oz Theatre,Spinning Coaster,Flying Coaster
13,18,Flying Coaster,Merry Go Round,Merry Go Round
12,17,Circus Train,Bungee Jump,Kiddie Coaster
12,16,Flying Coaster,Flying Coaster,Swing Ride
12,17,Circus Train,Spinning Coaster,Flying Coaster
12,16,Flying Coaster,Merry Go Round,Spinning Coaster
14,18,Flying Coaster,Go-Karts,Giant Wheel
13,17,Circus Train,Himalaya Ride,Circus Train
11,18,Merry Go Round,Flying Coaster,Merry Go Round
13,18,Flying Coaster,Merry Go Round,Dizzy Dropper
10,17,Circus Train,Swing Ride,Spinning Coaster
13,17,Inverted Coaster,Flying Coaster,Rapids Ride
14,18,Inverted Coaster,Bumper Cars,Go-Karts
11,15,Oz Theatre,Flying Coaster,Dizzy Dropper
10,16,Bumper Cars,Flying Coaster,Kiddie Coaster
10,17,Spinning Coaster,Flying Coaster,Flying Coaster
14,18,Spinning Coaster,Dizzy Dropper,Bungee Jump
13,18,Spinning Coaster,Spinning Coaster,Bungee Jump
14,18,Giant Wheel,Merry Go Round,Spinning Coaster
11,15,Inverted Coaster,Giant Wheel,Flying Coaster
13,18,Bumper Cars,Spinning Coaster,Kiddie Coaster
11,17,Merry Go Round,Rapids Ride,Flying Coaster
11,15,Merry Go Round,Crazy Dance,Merry Go Round
12,16,Crazy Dance,Merry Go Round,Giant Wheel
14,18,Flying Coaster,Merry Go Round,Spinning Coaster
12,18,Flying Coaster,Giant Wheel,Flying Coaster
12,17,Circus Train,Bungee Jump,Spinning Coaster
14,18,Spiral Slide,Dizzy Dropper,Flying Coaster
13,17,Superman Ride,Bungee Jump,Merry Go Round
14,18,Merry Go Round,Giant Wheel,Flying Coaster
11,16,Water Ride,Crazy Dance,Himalaya Ride
13,18,Go-Karts,Flying Coaster,Spiral Slide
12,16,Swing Ride,Kiddie Coaster,Oz Theatre
14,18,Flying Coaster,Flying Coaster,Bungee Jump
12,16,Spinning Coaster,Merry Go Round,Spinning Coaster
10,17,Dizzy Dropper,Roller Coaster,Flying Coaster
14,18,Go-Karts,Spiral Slide,Merry Go Round
11,17,Water Ride,Merry Go Round,Flying Coaster
12,17,Merry Go Round,Flying Coaster,Merry Go Round
11,15,Merry Go Round,Merry Go Round,Giga Coaster
12,16,Flying Coaster,Flying Coaster,Merry Go Round
11,16,Superman Ride,Free Fall,Merry Go Round
11,16,Go-Karts,Merry Go Round,Flying Coaster
14,18,Merry Go Round,Flying Coaster,Merry Go Round
14,18,Roller Coaster,Rapids Ride,Spinning Coaster
10,17,Bungee Jump,Giant Wheel,Oz Theatre
10,16,Roller Coaster,Spinning Coaster,Merry Go Round
11,18,Haunted House,Flying Coaster,Kiddie Coaster
13,18,Spinning Coaster,Flying Coaster,Oz Theatre
12,17,Merry Go Round,Kiddie Coaster,Roller Coaster
14,18,Merry Go Round,Flying Coaster,Circus Train
12,16,Circus Train,Flying Coaster,Flying Coaster
11,17,Giant Wheel,Bungee Jump,Merry Go Round
11,16,Dizzy Dropper,Kiddie Coaster,Bumper Cars
13,17,Kiddie Coaster,Spiral Slide,Go-Karts
10,16,Merry Go Round,Go-Karts,Flying Coaster
12,16,Haunted House,Go-Karts,Go-Karts
11,16,Flying Coaster,Go-Karts,Inverted Coaster
13,17,Haunted House,Flying Coaster,Flying Coaster
14,18,Flying Coaster,Flying Coaster,Go-Karts
13,18,Spinning Coaster,Rapids Ride,Rapids Ride
14,18,Go-Karts,Spinning Coaster,Flying Coaster
13,18,Merry Go Round,Go-Karts,Merry Go Round
14,18,Flying Coaster,Flying Coaster,Merry Go Round
12,16,Flying Coaster,Go-Karts,Flying Coaster
13,18,Spinning Coaster,Merry Go Round,Giant Wheel
10,14,Spinning Coaster,Bungee Jump,Flying Coaster
10,17,Go-Karts,Spinning Coaster,Haunted House
14,18,Giant Wheel,Inverted Coaster,Bungee Jump
10,14,Merry Go Round,Bungee Jump,Merry Go Round
11,17,Rapids Ride,Swing Ride,Flying Coaster
12,16,Bungee Jump,Flying Coaster,Flying Coaster
10,18,Circus Train,Superman Ride,Crazy Dance
13,17,Swing Ride,Merry Go Round,Flying Coaster
12,17,Flying Coaster,Merry Go Round,Bungee Jump
14,18,Crazy Dance,Flying Coaster,Circus Train
14,18,Giant Wheel,Flying Coaster,Merry Go Round
12,17,Water Ride,Spinning Coaster,Inverted Coaster
10,16,Merry Go Round,Flying Coaster,Spinning Coaster
12,16,Rapids Ride,Merry Go Round,Spinning Coaster
11,17,Flying Coaster,Merry Go Round,Merry Go Round
10,18,Flying Coaster,Flying Coaster,Merry Go Round
14,18,Merry Go Round,Spinning Coaster,Inverted Coaster
14,18,Flying Coaster,Free Fall,Flying Coaster
14,18,Go-Karts,Bungee Jump,Flying Coaster
11,16,Merry Go Round,Crazy Dance,Spinning Coaster
14,18,Superman Ride,Flying Coaster,Merry Go Round
12,16,Spiral Slide,Bumper Cars,Go-Karts
10,18,Zipline,Flying Coaster,Water Ride
11,15,Inverted Coaster,Merry Go Round,Zipline
13,17,Merry Go Round,Flying Coaster,Flying Coaster
14,18,Superman Ride,Circus Train,Merry Go Round
12,17,Flying Coaster,Go-Karts,Roller Coaster
10,18,Haunted House,Bungee Jump,Rapids Ride
10,17,Water Ride,Merry Go Round,Himalaya Ride
14,18,Circus Train,Flying Coaster,Merry Go Round
12,17,Rapids Ride,Swing Ride,Merry Go Round
12,17,Free Fall,Rapids Ride,Dizzy Dropper
13,18,Giant Wheel,Go-Karts,Bungee Jump
13,18,Circus Train,Haunted House,Merry Go Round
13,17,Merry Go Round,Bungee Jump,Flying Coaster
12,17,Giant Wheel,Himalaya Ride,Giant Wheel
14,18,Inverted Coaster,Free Fall,Himalaya Ride
10,15,Drop Tower,Flying Coaster,Rapids Ride
12,18,Merry Go Round,Flying Coaster,Free Fall
13,18,Go-Karts,Spinning Coaster,Bungee Jump
12,16,Roller Coaster,Flying Coaster,Go-Karts
12,18,Rapids Ride,Merry Go Round,Spinning Coaster
10,18,Merry Go Round,Haunted House,Bungee Jump
12,18,Merry Go Round,Merry Go Round,Bungee Jump
14,18,Go-Karts,Flying Coaster,Circus Train
11,17,Spinning Coaster,Kiddie Coaster,Go-Karts
10,15,Giant Wheel,Giant Wheel,Spinning Coaster
10,17,Merry Go Round,Oz Theatre,Dizzy Dropper
13,18,Bumper Cars,Haunted House,Rapids Ride
14,18,Giant Wheel,Circus Train,Merry Go Round
12,16,Spinning Coaster,Flying Coaster,Flying Coaster
13,18,Circus Train,Merry Go Round,Go-Karts
12,17,Superman Ride,Merry Go Round,Merry Go Round
10,15,Flying Coaster,Merry Go Round,Flying Coaster
13,17,Giant Wheel,Circus Train,Swing Ride
13,17,Giant Wheel,Flying Coaster,Spinning Coaster
13,17,Bumper Cars,Swing Ride,Giant Wheel
12,17,Merry Go Round,Giga Coaster,Flying Coaster
10,18,Merry Go Round,Kiddie Coaster,Go-Karts
10,18,Merry Go Round,Merry Go Round,Flying Coaster
14,18,Water Ride,Circus Train,Flying Coaster
14,18,Bumper Cars,Circus Train,Roller Coaster
10,18,Dizzy Dropper,Oz Theatre,Flying Coaster
13,17,Merry Go Round,Crazy Dance,Dizzy Dropper
11,17,Flying Coaster,Roller Coaster,Dizzy Dropper
12,16,Flying Coaster,Zipline,Flying Coaster
10,15,Spinning Coaster,Flying Coaster,Giant Wheel
10,16,Flying Coaster,Flying Coaster,Go-Karts
12,17,Zipline,Merry Go Round,Go-Karts
10,14,Merry Go Round,Flying Coaster,Go-Karts
13,17,Giant Wheel,Crazy Dance,Kiddie Coaster
13,17,Flying Coaster,Merry Go Round,Flying Coaster
10,14,Flying Coaster,Flying Coaster,Haunted House
10,17,Go-Karts,Flying Coaster,Merry Go Round
11,15,Dizzy Dropper,Flying Coaster,Flying Coaster
13,18,Roller Coaster,Free Fall,Spinning Coaster
10,15,Spinning Coaster,Merry Go Round,Flying Coaster
13,18,Spiral Slide,Free Fall,Merry Go Round
14,18,Go-Karts,Inverted Coaster,Merry Go Round
11,17,Flying Coaster,Spinning Coaster,Spinning Coaster
12,17,Flying Coaster,Flying Coaster,Bungee Jump
12,17,Inverted Coaster,Flying Coaster,Kiddie Coaster
10,18,Flying Coaster,Kiddie Coaster,Inverted Coaster
11,16,Bungee Jump,Spinning Coaster,Bumper Cars
10,17,Merry Go Round,Flying Coaster,Free Fall
14,18,Roller Coaster,Oz Theatre,Flying Coaster
12,16,Go-Karts,Go-Karts,Haunted House
12,17,Drop Tower,Crazy Dance,Merry Go Round
11,16,Bungee Jump,Circus Train,Flying Coaster
11,16,Giant Wheel,Free Fall,Himalaya Ride
12,16,Merry Go Round,Flying Coaster,Water Ride
12,18,Circus Train,Merry Go Round,Bungee Jump
12,17,Oz Theatre,Flying Coaster,Water Ride
10,15,Drop Tower,Haunted House,Circus Train
14,18,Merry Go Round,Dizzy Dropper,Merry Go Round
14,18,Superman Ride,Superman Ride,Merry Go Round
13,17,Flying Coaster,Inverted Coaster,Flying Coaster
